Source,Target
APOB,CALR
APOB,PDIA4
APOB,CALCR
APOB,PPIB
APOB,HSP90B1
APOB,BGN
APOB,LIPC
APOB,SEC61B
APOB,SEC61A1
APOB,CANX
APOB,MTTP
ARRB2,PTAFR
ARRB2,LHCGR
ARRB2,AP2B1
ARRB2,MAP2K4
ARRB2,MAP3K5
ARRB2,NEDD4
ARRB2,ITCH
ARRB2,MED8
ARRB2,STC2
ARRB2,SMARCC2
ARRB2,MAPK10
ARRB2,OPRD1
ARRB2,RALGDS
ARRB2,CYTH2
ARRB2,ARF6
ARRB2,MAPK3
ARRB2,AVPR2
ARRB2,MDM2
ARRB2,KPNA3
ARRB2,KPNA4
ARRB2,AP3B1
ARRB2,DDX27
ARRB2,NOLC1
ARRB2,TCOF1
ARRB2,RAB5C
ARRB2,RPL7L1
ARRB2,PES1
ARRB2,MRPL43
ARRB2,FBL
ARRB2,MRPL44
ARRB2,ARRB1
ARRB2,BOP1
ARRB2,MAPK1
ARRB2,CDC42
CSF1R,GRB2
CSF1R,PIK3R1
CSF1R,FYN
CSF1R,SRC
CSF1R,YES1
CSF1R,SOCS3
CSF1R,SOCS1
CSF1R,LYN
CSF1R,CSF1
CSF1R,CBL
CSF1R,GRAP2
PRRC2A,EIF3F
PRRC2A,PSMA3
PRRC2A,HNRNPM
PRRC2A,MAN2C1
PRRC2A,SSR3
PRRC2A,DDX20
PRRC2A,UBAP2L
PRRC2A,IMMT
PRRC2A,CPSF1
PRRC2A,PRMT2
PRRC2A,QARS
PRRC2A,IFT88
PRRC2A,FGA
PRRC2A,CCR10
PRRC2A,P4HA2
PRRC2A,MAD2L2
PRRC2A,HNRNPA1
PRRC2A,GANAB
PRRC2A,EIF3E
PRRC2A,C1QBP
PRRC2A,GRB2
LSM1,LSM4
LSM1,GRHPR
LSM1,LSM2
LSM1,EXOSC6
LSM1,N4BP1
LSM1,EXOSC8
LSM1,VPS11
LSM1,NARS
LSM1,PSMB5
LSM1,CLIC1
SLC4A1,SLC4A1AP
SLC4A1,CA2
SLC4A1,CA4
SLC4A1,ANK1
SLC4A1,EPB42
SLC4A1,CANX
SLC4A1,SLC4A1
BCL3,TBP
BCL3,RXRA
BCL3,GTF2A1
BCL3,GTF2B
BCL3,NFKB2
BCL3,FYN
BCL3,N4BP2
BCL3,RELB
BCL3,NFKB1
BCL3,NCOA1
BCL3,EP300
BCL3,FOS
BCL3,JUN
BCL3,NCOA6
BCL3,KAT5
BCL3,PIR
BCL3,COPS5
BCL3,BARD1
BCL3,CYLD
ADRB1,DLG4
ADRB1,ARRB1
ADRB1,GIPC1
BRCA1,FANCA
BRCA1,CCNE1
BRCA1,AR
BRCA1,BRAP
BRCA1,DHX9
BRCA1,MYC
BRCA1,ZNF350
BRCA1,CDK1
BRCA1,E2F4
BRCA1,CDK4
BRCA1,CDK2
BRCA1,BACH1
BRCA1,CCND1
BRCA1,CCNB1
BRCA1,STAT1
BRCA1,POU2F1
BRCA1,NFYA
BRCA1,AKT1
BRCA1,CHEK2
BRCA1,PPP1CB
BRCA1,RBBP8
BRCA1,UIMC1
BRCA1,APLP2
BRCA1,PEG3
BRCA1,RBBP7
BRCA1,BRIP1
BRCA1,TP53
BRCA1,ACACA
BRCA1,NELFB
BRCA1,WNT2B
BRCA1,RPL31
BRCA1,BARD1
BRCA1,ATF1
BRCA1,RB1
BRCA1,RBL1
BRCA1,RBL2
BRCA1,RAD50
BRCA1,UBE2L3
BRCA1,SP1
BRCA1,MED17
BRCA1,CSTF1
BRCA1,CSTF2
BRCA1,MRE11A
BRCA1,NCOA2
BRCA1,TUBG1
BRCA1,MLH1
BRCA1,MSH2
BRCA1,MSH6
BRCA1,MSH3
BRCA1,NBN
BRCA1,NUFIP1
BRCA1,RFC1
BRCA1,MED23
BRCA1,ETS1
BRCA1,FLI1
BRCA1,LMO4
BRCA1,ATM
BRCA1,BRCA2
BRCA1,CTBP1
BRCA1,CREBBP
BRCA1,RELA
BRCA1,CREB1
BRCA1,HIST2H3C
BRCA1,H2AFY
BRCA1,UBE3A
BRCA1,RAD51
BRCA1,ESR1
BRCA1,XIST
BRCA1,ABL1
BRCA1,JUN
BRCA1,BLM
BRCA1,CDK16
BRCA1,HSPA8
BRCA1,Ifi204
BRCA1,NMI
BRCA1,USF2
BRCA1,ELK4
